year,positive
1978,1001
1979,601
1980,664
1981,189
1982,86
1983,93
1984,42
1985,35
1986,55
1987,23
1988,38
1989,42
1990,0
1991,29
1992,0
1993,38
1994,0
1995,56
1996,0
1997,0
1998,21
1999,48
2000,76
2001,258
2002,0
2003,7
2004,14
2005,39
2006,39
2007,18
2008,46
2009,37
2010,0
2011,17
2012,6
2013,17
2014,22
2015,91
2016,589
2017,1186
2018,10
